,freq (Hartree),freq (eV),freq_permutation,gamma effective,chi3 effective,warning_flag
0,0.0544,1.4802993994879998,0.0,182010.6091133333,2.0063207190380967e-19,False
1,0.0544,1.4802993994879998,1.0,102394.06629666666,1.1286997923821214e-19,False
2,0.0544,1.4802993994879998,2.0,102394.06629666666,1.1286997923821214e-19,False
3,0.058899999999999994,1.6027506365779998,0.0,280685.10086666665,3.1175588555591255e-19,False
4,0.058899999999999994,1.6027506365779998,1.0,128601.46826666666,1.428371669870365e-19,False
5,0.058899999999999994,1.6027506365779998,2.0,128601.46826666669,1.428371669870365e-19,False
6,0.0634,1.725201873668,0.0,604342.84692,6.768518781429854e-19,False
7,0.0634,1.725201873668,1.0,195612.26122000004,2.1908181269841327e-19,False
8,0.0634,1.725201873668,2.0,195612.26122000004,2.1908181269841327e-19,False
9,0.0544,1.4802993994879998,0.0,51152008.33768,5.638535833061987e-17,False
10,0.0544,1.4802993994879998,1.0,49112293.59495333,5.4136960850277507e-17,False
11,0.0544,1.4802993994879998,2.0,49112293.59495333,5.413696085027751e-17,False
12,0.058899999999999994,1.6027506365779998,0.0,526910520.0069867,5.852375322605249e-16,False
13,0.058899999999999994,1.6027506365779998,1.0,513811298.88115,5.706882766371641e-16,False
14,0.058899999999999994,1.6027506365779998,2.0,513811298.88115,5.706882766371641e-16,False
